image;speed;steering_angle;x;y;psi;ptsx;ptsy
sample_data/13.jpg;9.168611;-0.10579215735197067;-42.11121;107.633;3.76584;[-32.16173, -43.49173, -61.09, -78.29172, -93.05002, -107.7717];[113.361, 105.941, 92.88499, 78.73102, 65.34102, 50.57938]
sample_data/14.jpg;10.28145;-0.11099662631750107;-42.46045;107.3658;3.773151;[-32.16173, -43.49173, -61.09, -78.29172, -93.05002, -107.7717];[113.361, 105.941, 92.88499, 78.73102, 65.34102, 50.57938]
sample_data/15.jpg;11.38259;-0.08258139342069626;-42.84684;107.0657;3.781194;[-32.16173, -43.49173, -61.09, -78.29172, -93.05002, -107.7717];[113.361, 105.941, 92.88499, 78.73102, 65.34102, 50.57938]
sample_data/16.jpg;11.95242;-0.13098987936973572;-43.1806;106.8031;3.788053;[-32.16173, -43.49173, -61.09, -78.29172, -93.05002, -107.7717];[113.361, 105.941, 92.88499, 78.73102, 65.34102, 50.57938]
sample_data/17.jpg;13.06449;-0.10869333893060684;-43.5377;106.5199;3.794567;[-32.16173, -43.49173, -61.09, -78.29172, -93.05002, -107.7717];[113.361, 105.941, 92.88499, 78.73102, 65.34102, 50.57938]
sample_data/18.jpg;14.27913;-0.06965858489274979;-44.01478;106.1318;3.805036;[-43.49173, -61.09, -78.29172, -93.05002, -107.7717, -123.3917];[105.941, 92.88499, 78.73102, 65.34102, 50.57938, 33.37102]
sample_data/19.jpg;15.13949;-0.03179212659597397;-44.52423;105.7103;3.815526;[-43.49173, -61.09, -78.29172, -93.05002, -107.7717, -123.3917];[105.941, 92.88499, 78.73102, 65.34102, 50.57938, 33.37102]
sample_data/20.jpg;15.96749;-0.038174159824848175;-44.95792;105.3497;3.822181;[-43.49173, -61.09, -78.29172, -93.05002, -107.7717, -123.3917];[105.941, 92.88499, 78.73102, 65.34102, 50.57938, 33.37102]
sample_data/21.jpg;17.23955;0.008397810161113739;-45.53283;104.8711;3.82823;[-43.49173, -61.09, -78.29172, -93.05002, -107.7717, -123.3917];[105.941, 92.88499, 78.73102, 65.34102, 50.57938, 33.37102]
sample_data/22.jpg;18.05555;0.014096386730670929;-46.01709;104.4664;3.831949;[-43.49173, -61.09, -78.29172, -93.05002, -107.7717, -123.3917];[105.941, 92.88499, 78.73102, 65.34102, 50.57938, 33.37102]
sample_data/23.jpg;18.90695;0.029809825122356415;-46.65517;103.9361;3.833615;[-43.49173, -61.09, -78.29172, -93.05002, -107.7717, -123.3917];[105.941, 92.88499, 78.73102, 65.34102, 50.57938, 33.37102]
sample_data/24.jpg;19.73301;-0.019661366939544678;-47.19261;103.4919;3.833272;[-43.49173, -61.09, -78.29172, -93.05002, -107.7717, -123.3917];[105.941, 92.88499, 78.73102, 65.34102, 50.57938, 33.37102]
sample_data/25.jpg;20.85412;-0.00855948030948639;-47.89772;102.9126;3.831532;[-43.49173, -61.09, -78.29172, -93.05002, -107.7717, -123.3917];[105.941, 92.88499, 78.73102, 65.34102, 50.57938, 33.37102]
sample_data/26.jpg;21.63767;0.008100353181362152;-48.48526;102.4276;3.831569;[-43.49173, -61.09, -78.29172, -93.05002, -107.7717, -123.3917];[105.941, 92.88499, 78.73102, 65.34102, 50.57938, 33.37102]
sample_data/27.jpg;22.56773;0.014927282929420471;-49.2497;101.7955;3.832076;[-43.49173, -61.09, -78.29172, -93.05002, -107.7717, -123.3917];[105.941, 92.88499, 78.73102, 65.34102, 50.57938, 33.37102]
sample_data/28.jpg;23.35877;0.053409915417432785;-49.8863;101.2702;3.831824;[-43.49173, -61.09, -78.29172, -93.05002, -107.7717, -123.3917];[105.941, 92.88499, 78.73102, 65.34102, 50.57938, 33.37102]
sample_data/29.jpg;24.33783;0.012531852349638939;-50.71395;100.591;3.830046;[-43.49173, -61.09, -78.29172, -93.05002, -107.7717, -123.3917];[105.941, 92.88499, 78.73102, 65.34102, 50.57938, 33.37102]
sample_data/30.jpg;25.1007;0.03639575093984604;-51.4034;100.0323;3.826301;[-43.49173, -61.09, -78.29172, -93.05002, -107.7717, -123.3917];[105.941, 92.88499, 78.73102, 65.34102, 50.57938, 33.37102]
sample_data/31.jpg;26.04844;0.022051099687814713;-52.29728;99.3127;3.821879;[-43.49173, -61.09, -78.29172, -93.05002, -107.7717, -123.3917];[105.941, 92.88499, 78.73102, 65.34102, 50.57938, 33.37102]
sample_data/32.jpg;26.98753;-0.001270383596420288;-53.22782;98.57145;3.816714;[-43.49173, -61.09, -78.29172, -93.05002, -107.7717, -123.3917];[105.941, 92.88499, 78.73102, 65.34102, 50.57938, 33.37102]
sample_data/33.jpg;27.73177;-0.0060454122722148895;-53.99786;97.96236;3.813054;[-43.49173, -61.09, -78.29172, -93.05002, -107.7717, -123.3917];[105.941, 92.88499, 78.73102, 65.34102, 50.57938, 33.37102]
sample_data/34.jpg;28.65339;-0.004809774458408356;-54.99034;97.17886;3.810373;[-43.49173, -61.09, -78.29172, -93.05002, -107.7717, -123.3917];[105.941, 92.88499, 78.73102, 65.34102, 50.57938, 33.37102]
sample_data/35.jpg;29.56557;0.02570096217095852;-56.01516;96.37024;3.809287;[-43.49173, -61.09, -78.29172, -93.05002, -107.7717, -123.3917];[105.941, 92.88499, 78.73102, 65.34102, 50.57938, 33.37102]
sample_data/36.jpg;30.28822;-0.027489129453897476;-56.85834;95.70577;3.808668;[-43.49173, -61.09, -78.29172, -93.05002, -107.7717, -123.3917];[105.941, 92.88499, 78.73102, 65.34102, 50.57938, 33.37102]
sample_data/37.jpg;31.18256;-0.03847286105155945;-57.9428;94.85553;3.806871;[-43.49173, -61.09, -78.29172, -93.05002, -107.7717, -123.3917];[105.941, 92.88499, 78.73102, 65.34102, 50.57938, 33.37102]
sample_data/38.jpg;31.88855;0.013894956558942795;-58.83146;94.1559;3.807605;[-43.49173, -61.09, -78.29172, -93.05002, -107.7717, -123.3917];[105.941, 92.88499, 78.73102, 65.34102, 50.57938, 33.37102]
sample_data/39.jpg;32.56131;-0.0009816065430641174;-59.73746;93.43825;3.809755;[-43.49173, -61.09, -78.29172, -93.05002, -107.7717, -123.3917];[105.941, 92.88499, 78.73102, 65.34102, 50.57938, 33.37102]
sample_data/40.jpg;33.31319;0.020632285624742508;-60.89507;92.52216;3.81071;[-61.09, -78.29172, -93.05002, -107.7717, -123.3917, -134.97];[92.88499, 78.73102, 65.34102, 50.57938, 33.37102, 18.404]
sample_data/41.jpg;33.8323;0.010511167347431183;-61.83883;91.7756;3.810873;[-61.09, -78.29172, -93.05002, -107.7717, -123.3917, -134.97];[92.88499, 78.73102, 65.34102, 50.57938, 33.37102, 18.404]
sample_data/42.jpg;34.3895;0.011629249900579453;-63.03881;90.83004;3.809493;[-61.09, -78.29172, -93.05002, -107.7717, -123.3917, -134.97];[92.88499, 78.73102, 65.34102, 50.57938, 33.37102, 18.404]
sample_data/43.jpg;34.86767;-0.004501190036535263;-64.25849;89.87265;3.807567;[-61.09, -78.29172, -93.05002, -107.7717, -123.3917, -134.97];[92.88499, 78.73102, 65.34102, 50.57938, 33.37102, 18.404]
sample_data/44.jpg;35.18283;0.004705753177404404;-65.24638;89.0998;3.805988;[-61.09, -78.29172, -93.05002, -107.7717, -123.3917, -134.97];[92.88499, 78.73102, 65.34102, 50.57938, 33.37102, 18.404]
sample_data/45.jpg;35.5124;-0.015661634504795074;-66.49278;88.12569;3.804864;[-61.09, -78.29172, -93.05002, -107.7717, -123.3917, -134.97];[92.88499, 78.73102, 65.34102, 50.57938, 33.37102, 18.404]
sample_data/46.jpg;35.72987;-0.03908028453588486;-67.49789;87.34106;3.804284;[-61.09, -78.29172, -93.05002, -107.7717, -123.3917, -134.97];[92.88499, 78.73102, 65.34102, 50.57938, 33.37102, 18.404]
sample_data/47.jpg;35.95175;-0.08865602314472198;-68.76035;86.35256;3.80533;[-61.09, -78.29172, -93.05002, -107.7717, -123.3917, -134.97];[92.88499, 78.73102, 65.34102, 50.57938, 33.37102, 18.404]
sample_data/48.jpg;36.11834;-0.08088057488203049;-70.02348;85.35116;3.810741;[-61.09, -78.29172, -93.05002, -107.7717, -123.3917, -134.97];[92.88499, 78.73102, 65.34102, 50.57938, 33.37102, 18.404]
sample_data/49.jpg;36.22309;-0.052184224128723145;-71.02856;84.53592;3.819601;[-61.09, -78.29172, -93.05002, -107.7717, -123.3917, -134.97];[92.88499, 78.73102, 65.34102, 50.57938, 33.37102, 18.404]
sample_data/50.jpg;36.304;-0.02906765043735504;-72.02728;83.70786;3.83041;[-61.09, -78.29172, -93.05002, -107.7717, -123.3917, -134.97];[92.88499, 78.73102, 65.34102, 50.57938, 33.37102, 18.404]
sample_data/51.jpg;36.3805;-0.01565966010093689;-73.26717;82.65735;3.843596;[-61.09, -78.29172, -93.05002, -107.7717, -123.3917, -134.97];[92.88499, 78.73102, 65.34102, 50.57938, 33.37102, 18.404]
sample_data/52.jpg;36.43149;-0.004221759736537933;-74.49884;81.59302;3.854702;[-61.09, -78.29172, -93.05002, -107.7717, -123.3917, -134.97];[92.88499, 78.73102, 65.34102, 50.57938, 33.37102, 18.404]
sample_data/53.jpg;36.45156;0.04371099919080734;-75.47923;80.73408;3.861633;[-61.09, -78.29172, -93.05002, -107.7717, -123.3917, -134.97];[92.88499, 78.73102, 65.34102, 50.57938, 33.37102, 18.404]
sample_data/54.jpg;36.45523;0.018971092998981476;-76.70052;79.65498;3.867192;[-61.09, -78.29172, -93.05002, -107.7717, -123.3917, -134.97];[92.88499, 78.73102, 65.34102, 50.57938, 33.37102, 18.404]
sample_data/55.jpg;36.44307;0.018260817974805832;-77.67767;78.79223;3.867805;[-61.09, -78.29172, -93.05002, -107.7717, -123.3917, -134.97];[92.88499, 78.73102, 65.34102, 50.57938, 33.37102, 18.404]
sample_data/56.jpg;36.41477;0.022103039547801018;-78.89924;77.71537;3.866684;[-78.29172, -93.05002, -107.7717, -123.3917, -134.97, -145.1165];[78.73102, 65.34102, 50.57938, 33.37102, 18.404, 4.339378]
sample_data/57.jpg;36.38089;-0.007838994264602661;-79.87696;76.85618;3.864831;[-78.29172, -93.05002, -107.7717, -123.3917, -134.97, -145.1165];[78.73102, 65.34102, 50.57938, 33.37102, 18.404, 4.339378]
sample_data/58.jpg;36.3276;0.0028231181204319;-81.09999;75.78625;3.861872;[-78.29172, -93.05002, -107.7717, -123.3917, -134.97, -145.1165];[78.73102, 65.34102, 50.57938, 33.37102, 18.404, 4.339378]
sample_data/59.jpg;36.27643;0.018979031592607498;-82.07751;74.93217;3.860458;[-78.29172, -93.05002, -107.7717, -123.3917, -134.97, -145.1165];[78.73102, 65.34102, 50.57938, 33.37102, 18.404, 4.339378]
sample_data/60.jpg;36.2047;-0.056330643594264984;-83.29842;73.86767;3.858875;[-78.29172, -93.05002, -107.7717, -123.3917, -134.97, -145.1165];[78.73102, 65.34102, 50.57938, 33.37102, 18.404, 4.339378]
sample_data/61.jpg;36.12314;-0.03643117845058441;-84.51846;72.80743;3.857322;[-78.29172, -93.05002, -107.7717, -123.3917, -134.97, -145.1165];[78.73102, 65.34102, 50.57938, 33.37102, 18.404, 4.339378]
sample_data/62.jpg;36.05303;-0.06005105376243591;-85.48903;71.95718;3.859571;[-78.29172, -93.05002, -107.7717, -123.3917, -134.97, -145.1165];[78.73102, 65.34102, 50.57938, 33.37102, 18.404, 4.339378]
sample_data/63.jpg;35.96239;-0.01597364991903305;-86.69411;70.89056;3.864833;[-78.29172, -93.05002, -107.7717, -123.3917, -134.97, -145.1165];[78.73102, 65.34102, 50.57938, 33.37102, 18.404, 4.339378]
sample_data/64.jpg;35.88633;-0.04605899751186371;-87.64983;70.03245;3.870922;[-78.29172, -93.05002, -107.7717, -123.3917, -134.97, -145.1165];[78.73102, 65.34102, 50.57938, 33.37102, 18.404, 4.339378]
sample_data/65.jpg;35.7893;-0.010915558785200119;-88.83602;68.9562;3.87786;[-78.29172, -93.05002, -107.7717, -123.3917, -134.97, -145.1165];[78.73102, 65.34102, 50.57938, 33.37102, 18.404, 4.339378]
sample_data/66.jpg;35.70873;-0.008958563208580017;-89.77686;68.09106;3.883921;[-78.29172, -93.05002, -107.7717, -123.3917, -134.97, -145.1165];[78.73102, 65.34102, 50.57938, 33.37102, 18.404, 4.339378]
sample_data/67.jpg;35.60696;-0.04725115746259689;-90.94498;67.00706;3.889977;[-78.29172, -93.05002, -107.7717, -123.3917, -134.97, -145.1165];[78.73102, 65.34102, 50.57938, 33.37102, 18.404, 4.339378]
sample_data/68.jpg;35.5227;-0.03561566025018692;-91.8732;66.13802;3.894285;[-78.29172, -93.05002, -107.7717, -123.3917, -134.97, -145.1165];[78.73102, 65.34102, 50.57938, 33.37102, 18.404, 4.339378]
sample_data/69.jpg;35.41647;-0.01806093379855156;-93.02251;65.04632;3.901454;[-93.05002, -107.7717, -123.3917, -134.97, -145.1165, -158.3417];[65.34102, 50.57938, 33.37102, 18.404, 4.339378, -17.42898]
sample_data/70.jpg;35.33109;-0.041288018226623535;-93.93337;64.16895;3.90759;[-93.05002, -107.7717, -123.3917, -134.97, -145.1165, -158.3417];[65.34102, 50.57938, 33.37102, 18.404, 4.339378, -17.42898]
sample_data/71.jpg;35.2244;0.010932441800832748;-95.06237;63.06849;3.91465;[-93.05002, -107.7717, -123.3917, -134.97, -145.1165, -158.3417];[65.34102, 50.57938, 33.37102, 18.404, 4.339378, -17.42898]
sample_data/72.jpg;35.11644;0.04516122117638588;-96.17975;61.96309;3.921904;[-93.05002, -107.7717, -123.3917, -134.97, -145.1165, -158.3417];[65.34102, 50.57938, 33.37102, 18.404, 4.339378, -17.42898]
sample_data/73.jpg;35.03013;0.03997939079999924;-97.06914;61.07912;3.924904;[-93.05002, -107.7717, -123.3917, -134.97, -145.1165, -158.3417];[65.34102, 50.57938, 33.37102, 18.404, 4.339378, -17.42898]
sample_data/74.jpg;34.92319;0.032332487404346466;-98.1806;59.98005;3.923785;[-93.05002, -107.7717, -123.3917, -134.97, -145.1165, -158.3417];[65.34102, 50.57938, 33.37102, 18.404, 4.339378, -17.42898]
sample_data/75.jpg;34.83878;-0.008769070729613304;-99.07065;59.10656;3.920618;[-93.05002, -107.7717, -123.3917, -134.97, -145.1165, -158.3417];[65.34102, 50.57938, 33.37102, 18.404, 4.339378, -17.42898]
sample_data/76.jpg;34.73485;-0.04920955002307892;-100.1843;58.02179;3.915892;[-93.05002, -107.7717, -123.3917, -134.97, -145.1165, -158.3417];[65.34102, 50.57938, 33.37102, 18.404, 4.339378, -17.42898]
sample_data/77.jpg;34.6503;-0.0347999632358551;-101.0731;57.15664;3.914248;[-93.05002, -107.7717, -123.3917, -134.97, -145.1165, -158.3417];[65.34102, 50.57938, 33.37102, 18.404, 4.339378, -17.42898]
sample_data/78.jpg;34.5462;-0.030875451862812042;-102.1765;56.07347;3.916692;[-93.05002, -107.7717, -123.3917, -134.97, -145.1165, -158.3417];[65.34102, 50.57938, 33.37102, 18.404, 4.339378, -17.42898]
sample_data/79.jpg;34.46492;-0.051513250917196274;-103.053;55.2053;3.920311;[-93.05002, -107.7717, -123.3917, -134.97, -145.1165, -158.3417];[65.34102, 50.57938, 33.37102, 18.404, 4.339378, -17.42898]
sample_data/80.jpg;34.36478;-0.03788109868764877;-104.1402;54.11745;3.92604;[-93.05002, -107.7717, -123.3917, -134.97, -145.1165, -158.3417];[65.34102, 50.57938, 33.37102, 18.404, 4.339378, -17.42898]
sample_data/81.jpg;34.28463;-0.01938408613204956;-105.0015;53.24329;3.932199;[-93.05002, -107.7717, -123.3917, -134.97, -145.1165, -158.3417];[65.34102, 50.57938, 33.37102, 18.404, 4.339378, -17.42898]
sample_data/82.jpg;34.18794;-0.006872774101793766;-106.0679;52.14602;3.940224;[-93.05002, -107.7717, -123.3917, -134.97, -145.1165, -158.3417];[65.34102, 50.57938, 33.37102, 18.404, 4.339378, -17.42898]
sample_data/83.jpg;34.11139;-0.03033500909805298;-106.9142;51.26594;3.945657;[-93.05002, -107.7717, -123.3917, -134.97, -145.1165, -158.3417];[65.34102, 50.57938, 33.37102, 18.404, 4.339378, -17.42898]
sample_data/84.jpg;34.0172;-0.025351736694574356;-107.965;50.16437;3.951007;[-107.7717, -123.3917, -134.97, -145.1165, -158.3417, -164.3164];[50.57938, 33.37102, 18.404, 4.339378, -17.42898, -30.18062]
sample_data/85.jpg;33.92375;0.00688237976282835;-109.0064;49.05966;3.956727;[-107.7717, -123.3917, -134.97, -145.1165, -158.3417, -164.3164];[50.57938, 33.37102, 18.404, 4.339378, -17.42898, -30.18062]
sample_data/86.jpg;33.85118;-0.03641452640295029;-109.8332;48.17408;3.960976;[-107.7717, -123.3917, -134.97, -145.1165, -158.3417, -164.3164];[50.57938, 33.37102, 18.404, 4.339378, -17.42898, -30.18062]
sample_data/87.jpg;33.76197;-0.0073871910572052;-110.8617;47.06724;3.964559;[-107.7717, -123.3917, -134.97, -145.1165, -158.3417, -164.3164];[50.57938, 33.37102, 18.404, 4.339378, -17.42898, -30.18062]
sample_data/88.jpg;33.69152;-0.0049737608060240746;-111.6784;46.18008;3.968126;[-107.7717, -123.3917, -134.97, -145.1165, -158.3417, -164.3164];[50.57938, 33.37102, 18.404, 4.339378, -17.42898, -30.18062]
sample_data/89.jpg;33.60589;-0.03243982419371605;-112.6937;45.07066;3.971716;[-107.7717, -123.3917, -134.97, -145.1165, -158.3417, -164.3164];[50.57938, 33.37102, 18.404, 4.339378, -17.42898, -30.18062]
sample_data/90.jpg;33.5378;-0.017185870558023453;-113.5016;44.18292;3.974267;[-107.7717, -123.3917, -134.97, -145.1165, -158.3417, -164.3164];[50.57938, 33.37102, 18.404, 4.339378, -17.42898, -30.18062]
sample_data/91.jpg;33.45446;-0.017652040347456932;-114.504;43.07104;3.978655;[-107.7717, -123.3917, -134.97, -145.1165, -158.3417, -164.3164];[50.57938, 33.37102, 18.404, 4.339378, -17.42898, -30.18062]
sample_data/92.jpg;33.38905;-0.009803380817174911;-115.3006;42.18038;3.982149;[-107.7717, -123.3917, -134.97, -145.1165, -158.3417, -164.3164];[50.57938, 33.37102, 18.404, 4.339378, -17.42898, -30.18062]
sample_data/93.jpg;33.30916;-0.005441177636384964;-116.2903;41.06585;3.986298;[-107.7717, -123.3917, -134.97, -145.1165, -158.3417, -164.3164];[50.57938, 33.37102, 18.404, 4.339378, -17.42898, -30.18062]
sample_data/94.jpg;33.24615;0.002555347979068756;-117.0777;40.17385;3.989082;[-107.7717, -123.3917, -134.97, -145.1165, -158.3417, -164.3164];[50.57938, 33.37102, 18.404, 4.339378, -17.42898, -30.18062]
sample_data/95.jpg;33.16911;-0.016211390495300293;-118.0575;39.05912;3.991706;[-107.7717, -123.3917, -134.97, -145.1165, -158.3417, -164.3164];[50.57938, 33.37102, 18.404, 4.339378, -17.42898, -30.18062]
sample_data/96.jpg;33.10825;-0.01644439809024334;-118.8385;38.16805;3.993192;[-107.7717, -123.3917, -134.97, -145.1165, -158.3417, -164.3164];[50.57938, 33.37102, 18.404, 4.339378, -17.42898, -30.18062]
sample_data/97.jpg;33.03389;-0.02571040391921997;-119.8098;37.05391;3.995614;[-107.7717, -123.3917, -134.97, -145.1165, -158.3417, -164.3164];[50.57938, 33.37102, 18.404, 4.339378, -17.42898, -30.18062]
sample_data/98.jpg;32.96056;-0.02905670553445816;-120.7752;35.93905;3.998638;[-107.7717, -123.3917, -134.97, -145.1165, -158.3417, -164.3164];[50.57938, 33.37102, 18.404, 4.339378, -17.42898, -30.18062]
sample_data/99.jpg;32.90369;-0.02468528226017952;-121.5425;35.0459;4.00182;[-107.7717, -123.3917, -134.97, -145.1165, -158.3417, -164.3164];[50.57938, 33.37102, 18.404, 4.339378, -17.42898, -30.18062]
sample_data/100.jpg;32.83455;-0.05378503352403641;-122.4947;33.92719;4.00663;[-107.7717, -123.3917, -134.97, -145.1165, -158.3417, -164.3164];[50.57938, 33.37102, 18.404, 4.339378, -17.42898, -30.18062]
sample_data/101.jpg;32.77939;-0.02814766764640808;-123.2505;33.03006;4.011088;[-123.3917, -134.97, -145.1165, -158.3417, -164.3164, -169.3365];[33.37102, 18.404, 4.339378, -17.42898, -30.18062, -42.84062]
sample_data/102.jpg;32.71218;-0.014087803661823273;-124.185;31.90372;4.018578;[-123.3917, -134.97, -145.1165, -158.3417, -164.3164, -169.3365];[33.37102, 18.404, 4.339378, -17.42898, -30.18062, -42.84062]
sample_data/103.jpg;32.65979;0.00963936559855938;-124.9257;30.99972;4.024356;[-123.3917, -134.97, -145.1165, -158.3417, -164.3164, -169.3365];[33.37102, 18.404, 4.339378, -17.42898, -30.18062, -42.84062]
sample_data/104.jpg;32.59632;0.0026611844077706337;-125.8452;29.86779;4.030004;[-123.3917, -134.97, -145.1165, -158.3417, -164.3164, -169.3365];[33.37102, 18.404, 4.339378, -17.42898, -30.18062, -42.84062]
sample_data/105.jpg;32.54617;-0.006386987864971161;-126.5778;28.96249;4.032526;[-123.3917, -134.97, -145.1165, -158.3417, -164.3164, -169.3365];[33.37102, 18.404, 4.339378, -17.42898, -30.18062, -42.84062]
sample_data/106.jpg;32.48516;-0.0035065626725554466;-127.4905;27.83147;4.034443;[-123.3917, -134.97, -145.1165, -158.3417, -164.3164, -169.3365];[33.37102, 18.404, 4.339378, -17.42898, -30.18062, -42.84062]
sample_data/107.jpg;32.42513;0.0032256022095680237;-128.3993;26.70084;4.036054;[-123.3917, -134.97, -145.1165, -158.3417, -164.3164, -169.3365];[33.37102, 18.404, 4.339378, -17.42898, -30.18062, -42.84062]
sample_data/108.jpg;32.37869;-0.00585627555847168;-129.124;25.7969;4.037043;[-123.3917, -134.97, -145.1165, -158.3417, -164.3164, -169.3365];[33.37102, 18.404, 4.339378, -17.42898, -30.18062, -42.84062]
sample_data/109.jpg;32.32207;-0.0016307327896356583;-130.0278;24.66827;4.037728;[-123.3917, -134.97, -145.1165, -158.3417, -164.3164, -169.3365];[33.37102, 18.404, 4.339378, -17.42898, -30.18062, -42.84062]
sample_data/110.jpg;32.2663;-0.05739981308579445;-130.9289;23.54065;4.038518;[-123.3917, -134.97, -145.1165, -158.3417, -164.3164, -169.3365];[33.37102, 18.404, 4.339378, -17.42898, -30.18062, -42.84062]
sample_data/111.jpg;32.22142;-0.04387437552213669;-131.6471;22.63872;4.039781;[-123.3917, -134.97, -145.1165, -158.3417, -164.3164, -169.3365];[33.37102, 18.404, 4.339378, -17.42898, -30.18062, -42.84062]
sample_data/112.jpg;32.16654;-0.03399389237165451;-132.536;21.50718;4.045098;[-123.3917, -134.97, -145.1165, -158.3417, -164.3164, -169.3365];[33.37102, 18.404, 4.339378, -17.42898, -30.18062, -42.84062]
sample_data/113.jpg;32.12494;-0.036875903606414795;-133.2401;20.59867;4.050603;[-123.3917, -134.97, -145.1165, -158.3417, -164.3164, -169.3365];[33.37102, 18.404, 4.339378, -17.42898, -30.18062, -42.84062]
sample_data/114.jpg;32.07459;-0.06118273735046387;-134.1121;19.4593;4.05776;[-123.3917, -134.97, -145.1165, -158.3417, -164.3164, -169.3365];[33.37102, 18.404, 4.339378, -17.42898, -30.18062, -42.84062]
sample_data/115.jpg;32.03424;-0.041249968111515045;-134.8027;18.54448;4.06384;[-123.3917, -134.97, -145.1165, -158.3417, -164.3164, -169.3365];[33.37102, 18.404, 4.339378, -17.42898, -30.18062, -42.84062]
sample_data/116.jpg;31.98483;-0.02084147185087204;-135.6545;17.395;4.073045;[-134.97, -145.1165, -158.3417, -164.3164, -169.3365, -175.4917];[18.404, 4.339378, -17.42898, -30.18062, -42.84062, -66.52898]
sample_data/117.jpg;31.947;0.025611845776438713;-136.3279;16.4714;4.080252;[-134.97, -145.1165, -158.3417, -164.3164, -169.3365, -175.4917];[18.404, 4.339378, -17.42898, -30.18062, -42.84062, -66.52898]
sample_data/118.jpg;31.90003;0.034786492586135864;-137.1627;15.31411;4.087137;[-134.97, -145.1165, -158.3417, -164.3164, -169.3365, -175.4917];[18.404, 4.339378, -17.42898, -30.18062, -42.84062, -66.52898]
sample_data/119.jpg;31.86209;0.045830678194761276;-137.829;14.38916;4.0892;[-134.97, -145.1165, -158.3417, -164.3164, -169.3365, -175.4917];[18.404, 4.339378, -17.42898, -30.18062, -42.84062, -66.52898]
sample_data/120.jpg;31.81613;0.019036997109651566;-138.6636;13.2364;4.088014;[-134.97, -145.1165, -158.3417, -164.3164, -169.3365, -175.4917];[18.404, 4.339378, -17.42898, -30.18062, -42.84062, -66.52898]
sample_data/121.jpg;31.77176;-0.025652114301919937;-139.5024;12.0893;4.083732;[-134.97, -145.1165, -158.3417, -164.3164, -169.3365, -175.4917];[18.404, 4.339378, -17.42898, -30.18062, -42.84062, -66.52898]
sample_data/122.jpg;31.73744;-0.031767621636390686;-140.175;11.17441;4.080722;[-134.97, -145.1165, -158.3417, -164.3164, -169.3365, -175.4917];[18.404, 4.339378, -17.42898, -30.18062, -42.84062, -66.52898]
